DATE,TIME,MODEL_CODE,S/N,TOLERANCE,VOLTAGE_MIDDLE,WATTAGE_MIDDLE,AMPERAGE_MIDDLE,CLOSED_PRESSURE
2025/09/25,17:18:15,60CAT0212P,250900218,5,10.703857500000002 > 10.3 < 9.6844425,24.560865000000003 > 23.8 < 22.221735,3.2653120500000004 > 3.2144 < 2.95432995,31.651199999999996 > 30.8 < 28.636799999999994
2025/09/25,17:22:07,60CAT0212P,250900219,5,10.703857500000002 > 10.22 < 9.6844425,24.560865000000003 > 23.78 < 22.221735,3.2653120500000004 > 3.1839 < 2.95432995,31.651199999999996 > 30.3 < 28.636799999999994
2025/09/25,17:24:52,60CAT0212P,250900220,5,10.703857500000002 > 9.85 < 9.6844425,24.560865000000003 > 22.87 < 22.221735,3.2653120500000004 > 3.0838 < 2.95432995,31.651199999999996 > 30.0 < 28.636799999999994
2025/09/25,17:24:52,60CAT0212P,250900220,5,10.703857500000002 > 9.85 < 9.6844425,24.560865000000003 > 22.87 < 22.221735,3.2653120500000004 > 3.0838 < 2.95432995,31.651199999999996 > 30.0 < 28.636799999999994
2025/09/25,17:29:07,60CAT0212P,250900221,5,10.703857500000002 > 10.29 < 9.6844425,24.560865000000003 > 23.91 < 22.221735,3.2653120500000004 > 3.229 < 2.95432995,31.651199999999996 > 29.7 < 28.636799999999994
2025/09/25,17:32:22,60CAT0212P,250900222,5,10.703857500000002 > 10.33 < 9.6844425,24.560865000000003 > 23.88 < 22.221735,3.2653120500000004 > 3.2375 < 2.95432995,31.651199999999996 > 30.5 < 28.636799999999994
2025/09/25,17:32:22,60CAT0212P,250900222,5,10.703857500000002 > 10.33 < 9.6844425,24.560865000000003 > 23.88 < 22.221735,3.2653120500000004 > 3.2375 < 2.95432995,31.651199999999996 > 30.5 < 28.636799999999994
2025/09/25,17:35:47,60CAT0212P,250900223,5,10.703857500000002 > 10.31 < 9.6844425,24.560865000000003 > 23.67 < 22.221735,3.2653120500000004 > 3.217 < 2.95432995,31.651199999999996 > 29.9 < 28.636799999999994
2025/09/25,17:35:47,60CAT0212P,250900223,5,10.703857500000002 > 10.31 < 9.6844425,24.560865000000003 > 23.67 < 22.221735,3.2653120500000004 > 3.217 < 2.95432995,31.651199999999996 > 29.9 < 28.636799999999994
2025/09/25,17:38:33,60CAT0212P,250900224,5,10.703857500000002 > 10.3 < 9.6844425,24.560865000000003 > 23.57 < 22.221735,3.2653120500000004 > 3.1872 < 2.95432995,31.651199999999996 > 29.6 < 28.636799999999994
2025/09/25,17:41:30,60CAT0212P,250900225,5,10.703857500000002 > 10.36 < 9.6844425,24.560865000000003 > 24.02 < 22.221735,3.2653120500000004 > 3.1846 < 2.95432995,31.651199999999996 > 30.1 < 28.636799999999994
2025/09/25,17:41:30,60CAT0212P,250900225,5,10.703857500000002 > 10.36 < 9.6844425,24.560865000000003 > 24.02 < 22.221735,3.2653120500000004 > 3.1846 < 2.95432995,31.651199999999996 > 30.1 < 28.636799999999994
2025/09/25,17:45:42,60CAT0212P,250900226,5,10.703857500000002 > 10.1 < 9.6844425,24.560865000000003 > 23.11 < 22.221735,3.2653120500000004 > 3.1081 < 2.95432995,31.651199999999996 > 29.8 < 28.636799999999994
2025/09/25,17:45:42,60CAT0212P,250900226,5,10.703857500000002 > 10.1 < 9.6844425,24.560865000000003 > 23.11 < 22.221735,3.2653120500000004 > 3.1081 < 2.95432995,31.651199999999996 > 29.8 < 28.636799999999994
2025/09/25,17:48:22,60CAT0212P,250900227,5,10.703857500000002 > 10.02 < 9.6844425,24.560865000000003 > 23.05 < 22.221735,3.2653120500000004 > 3.0897 < 2.95432995,31.651199999999996 > 30.1 < 28.636799999999994
2025/09/25,17:48:22,60CAT0212P,250900227,5,10.703857500000002 > 10.02 < 9.6844425,24.560865000000003 > 23.05 < 22.221735,3.2653120500000004 > 3.0897 < 2.95432995,31.651199999999996 > 30.1 < 28.636799999999994
2025/09/25,17:51:11,60CAT0212P,250900228,5,10.703857500000002 > 10.19 < 9.6844425,24.560865000000003 > 23.7 < 22.221735,3.2653120500000004 > 3.1325 < 2.95432995,31.651199999999996 > 30.8 < 28.636799999999994
2025/09/25,17:51:11,60CAT0212P,250900228,5,10.703857500000002 > 10.19 < 9.6844425,24.560865000000003 > 23.7 < 22.221735,3.2653120500000004 > 3.1325 < 2.95432995,31.651199999999996 > 30.8 < 28.636799999999994
2025/09/25,17:53:58,60CAT0212P,250900229,5,10.703857500000002 > 10.23 < 9.6844425,24.560865000000003 > 23.72 < 22.221735,3.2653120500000004 > 3.1098 < 2.95432995,31.651199999999996 > 30.0 < 28.636799999999994
2025/09/25,17:53:58,60CAT0212P,250900229,5,10.703857500000002 > 10.23 < 9.6844425,24.560865000000003 > 23.72 < 22.221735,3.2653120500000004 > 3.1098 < 2.95432995,31.651199999999996 > 30.0 < 28.636799999999994
2025/09/25,17:56:57,60CAT0212P,250900230,5,10.703857500000002 > 10.05 < 9.6844425,24.560865000000003 > 22.91 < 22.221735,3.2653120500000004 > 3.1115 < 2.95432995,31.651199999999996 > 29.5 < 28.636799999999994
2025/09/25,17:56:57,60CAT0212P,250900230,5,10.703857500000002 > 10.05 < 9.6844425,24.560865000000003 > 22.91 < 22.221735,3.2653120500000004 > 3.1115 < 2.95432995,31.651199999999996 > 29.5 < 28.636799999999994
2025/09/25,18:01:38,60CAT0212P,250900231,5,10.703857500000002 > 10.2 < 9.6844425,24.560865000000003 > 23.42 < 22.221735,3.2653120500000004 > 3.1631 < 2.95432995,31.651199999999996 > 30.0 < 28.636799999999994
2025/09/25,18:03:33,60CAT0212P,250900232,5,10.703857500000002 > 10.41 < 9.6844425,24.560865000000003 > 23.87 < 22.221735,3.2653120500000004 > 3.1672 < 2.95432995,31.651199999999996 > 29.9 < 28.636799999999994
2025/09/25,18:03:33,60CAT0212P,250900232,5,10.703857500000002 > 10.41 < 9.6844425,24.560865000000003 > 23.87 < 22.221735,3.2653120500000004 > 3.1672 < 2.95432995,31.651199999999996 > 29.9 < 28.636799999999994
2025/09/25,18:05:58,60CAT0212P,250900233,5,10.703857500000002 > 10.28 < 9.6844425,24.560865000000003 > 23.82 < 22.221735,3.2653120500000004 > 3.1651 < 2.95432995,31.651199999999996 > 29.8 < 28.636799999999994
2025/09/25,18:08:10,60CAT0212P,250900234,5,10.703857500000002 > 10.31 < 9.6844425,24.560865000000003 > 23.45 < 22.221735,3.2653120500000004 > 3.1762 < 2.95432995,31.651199999999996 > 30.1 < 28.636799999999994
2025/09/25,18:08:10,60CAT0212P,250900234,5,10.703857500000002 > 10.31 < 9.6844425,24.560865000000003 > 23.45 < 22.221735,3.2653120500000004 > 3.1762 < 2.95432995,31.651199999999996 > 30.1 < 28.636799999999994
2025/09/25,18:11:13,60CAT0212P,250900235,5,10.703857500000002 > 10.2 < 9.6844425,24.560865000000003 > 23.19 < 22.221735,3.2653120500000004 > 3.1235 < 2.95432995,31.651199999999996 > 30.7 < 28.636799999999994
2025/09/26,08:23:05,60CAT0212P,250900237,5,10.6670025 > 10.11 < 9.6510975,24.5725725 > 23.34 < 22.232327499999997,3.2780522249999997 > 3.1092 < 2.965856775,31.650150000000004 > 30.9 < 28.635849999999998
2025/09/26,08:23:05,60CAT0212P,250900237,5,10.6670025 > 10.11 < 9.6510975,24.5725725 > 23.34 < 22.232327499999997,3.2780522249999997 > 3.1092 < 2.965856775,31.650150000000004 > 30.9 < 28.635849999999998
2025/09/26,08:25:20,60CAT0212P,250900238,5,10.6670025 > 10.12 < 9.6510975,24.5725725 > 23.33 < 22.232327499999997,3.2780522249999997 > 3.0863 < 2.965856775,31.650150000000004 > 30.1 < 28.635849999999998
2025/09/26,08:25:20,60CAT0212P,250900238,5,10.6670025 > 10.12 < 9.6510975,24.5725725 > 23.33 < 22.232327499999997,3.2780522249999997 > 3.0863 < 2.965856775,31.650150000000004 > 30.1 < 28.635849999999998
2025/09/26,08:29:47,60CAT0212P,250900239,5,10.6670025 > 10.12 < 9.6510975,24.5725725 > 23.16 < 22.232327499999997,3.2780522249999997 > 3.1381 < 2.965856775,31.650150000000004 > 29.8 < 28.635849999999998
2025/09/26,08:29:47,60CAT0212P,250900239,5,10.6670025 > 10.12 < 9.6510975,24.5725725 > 23.16 < 22.232327499999997,3.2780522249999997 > 3.1381 < 2.965856775,31.650150000000004 > 29.8 < 28.635849999999998
2025/09/26,08:29:47,60CAT0212P,250900239,5,10.6670025 > 10.12 < 9.6510975,24.5725725 > 23.16 < 22.232327499999997,3.2780522249999997 > 3.1381 < 2.965856775,31.650150000000004 > 29.8 < 28.635849999999998
2025/09/26,08:32:01,60CAT0212P,250900240,5,10.6670025 > 10.25 < 9.6510975,24.5725725 > 23.37 < 22.232327499999997,3.2780522249999997 > 3.1466 < 2.965856775,31.650150000000004 > 30.3 < 28.635849999999998
2025/09/26,08:32:01,60CAT0212P,250900240,5,10.6670025 > 10.25 < 9.6510975,24.5725725 > 23.37 < 22.232327499999997,3.2780522249999997 > 3.1466 < 2.965856775,31.650150000000004 > 30.3 < 28.635849999999998
2025/09/26,08:35:13,60CAT0212P,250900241,5,10.6670025 > 10.34 < 9.6510975,24.5725725 > 23.57 < 22.232327499999997,3.2780522249999997 > 3.1913 < 2.965856775,31.650150000000004 > 29.9 < 28.635849999999998
2025/09/26,08:35:13,60CAT0212P,250900241,5,10.6670025 > 10.34 < 9.6510975,24.5725725 > 23.57 < 22.232327499999997,3.2780522249999997 > 3.1913 < 2.965856775,31.650150000000004 > 29.9 < 28.635849999999998
2025/09/26,08:38:06,60CAT0212P,250900242,5,10.6670025 > 10.27 < 9.6510975,24.5725725 > 23.62 < 22.232327499999997,3.2780522249999997 > 3.161 < 2.965856775,31.650150000000004 > 30.0 < 28.635849999999998
2025/09/26,08:38:06,60CAT0212P,250900242,5,10.6670025 > 10.27 < 9.6510975,24.5725725 > 23.62 < 22.232327499999997,3.2780522249999997 > 3.161 < 2.965856775,31.650150000000004 > 30.0 < 28.635849999999998
2025/09/26,08:42:31,60CAT0212P,250900243,5,10.6670025 > 10.23 < 9.6510975,24.5725725 > 23.44 < 22.232327499999997,3.2780522249999997 > 3.0919 < 2.965856775,31.650150000000004 > 29.7 < 28.635849999999998
2025/09/26,08:42:31,60CAT0212P,250900243,5,10.6670025 > 10.23 < 9.6510975,24.5725725 > 23.44 < 22.232327499999997,3.2780522249999997 > 3.0919 < 2.965856775,31.650150000000004 > 29.7 < 28.635849999999998
2025/09/26,08:44:48,60CAT0212P,250900244,5,10.6670025 > 10.32 < 9.6510975,24.5725725 > 23.49 < 22.232327499999997,3.2780522249999997 > 3.1691 < 2.965856775,31.650150000000004 > 29.5 < 28.635849999999998
2025/09/26,08:47:20,60CAT0212P,250900245,5,10.6670025 > 10.36 < 9.6510975,24.5725725 > 23.7 < 22.232327499999997,3.2780522249999997 > 3.1603 < 2.965856775,31.650150000000004 > 30.0 < 28.635849999999998
2025/09/26,08:53:58,60CAT0212P,250900246,5,10.6670025 > 10.1 < 9.6510975,24.5725725 > 23.54 < 22.232327499999997,3.2780522249999997 > 3.1176 < 2.965856775,31.650150000000004 > 31.0 < 28.635849999999998
2025/09/26,08:53:58,60CAT0212P,250900246,5,10.6670025 > 10.1 < 9.6510975,24.5725725 > 23.54 < 22.232327499999997,3.2780522249999997 > 3.1176 < 2.965856775,31.650150000000004 > 31.0 < 28.635849999999998
2025/09/26,08:56:05,60CAT0212P,250900247,5,10.6670025 > 10.2 < 9.6510975,24.5725725 > 23.24 < 22.232327499999997,3.2780522249999997 > 3.1229 < 2.965856775,31.650150000000004 > 30.0 < 28.635849999999998
2025/09/26,08:56:05,60CAT0212P,250900247,5,10.6670025 > 10.2 < 9.6510975,24.5725725 > 23.24 < 22.232327499999997,3.2780522249999997 > 3.1229 < 2.965856775,31.650150000000004 > 30.0 < 28.635849999999998
2025/09/26,08:58:28,60CAT0212P,250900248,5,10.6670025 > 10.27 < 9.6510975,24.5725725 > 23.66 < 22.232327499999997,3.2780522249999997 > 3.1176 < 2.965856775,31.650150000000004 > 29.8 < 28.635849999999998
2025/09/26,08:58:28,60CAT0212P,250900248,5,10.6670025 > 10.27 < 9.6510975,24.5725725 > 23.66 < 22.232327499999997,3.2780522249999997 > 3.1176 < 2.965856775,31.650150000000004 > 29.8 < 28.635849999999998
2025/09/26,09:01:27,60CAT0212P,250900249,5,10.6670025 > 10.34 < 9.6510975,24.5725725 > 23.8 < 22.232327499999997,3.2780522249999997 > 3.2203 < 2.965856775,31.650150000000004 > 29.9 < 28.635849999999998
2025/09/26,09:01:27,60CAT0212P,250900249,5,10.6670025 > 10.34 < 9.6510975,24.5725725 > 23.8 < 22.232327499999997,3.2780522249999997 > 3.2203 < 2.965856775,31.650150000000004 > 29.9 < 28.635849999999998
2025/09/26,09:04:18,60CAT0212P,250900250,5,10.6670025 > 10.21 < 9.6510975,24.5725725 > 23.22 < 22.232327499999997,3.2780522249999997 > 3.1296 < 2.965856775,31.650150000000004 > 30.4 < 28.635849999999998
2025/09/26,09:07:03,60CAT0212P,250900251,5,10.6670025 > 10.29 < 9.6510975,24.5725725 > 23.44 < 22.232327499999997,3.2780522249999997 > 3.1622 < 2.965856775,31.650150000000004 > 29.9 < 28.635849999999998
2025/09/26,09:07:03,60CAT0212P,250900251,5,10.6670025 > 10.29 < 9.6510975,24.5725725 > 23.44 < 22.232327499999997,3.2780522249999997 > 3.1622 < 2.965856775,31.650150000000004 > 29.9 < 28.635849999999998
2025/09/26,09:09:06,60CAT0212P,250900252,5,10.6670025 > 10.28 < 9.6510975,24.5725725 > 23.84 < 22.232327499999997,3.2780522249999997 > 3.2371 < 2.965856775,31.650150000000004 > 30.1 < 28.635849999999998
2025/09/26,09:09:06,60CAT0212P,250900252,5,10.6670025 > 10.28 < 9.6510975,24.5725725 > 23.84 < 22.232327499999997,3.2780522249999997 > 3.2371 < 2.965856775,31.650150000000004 > 30.1 < 28.635849999999998
2025/09/26,09:12:40,60CAT0212P,250900253,5,10.6670025 > 10.28 < 9.6510975,24.5725725 > 23.64 < 22.232327499999997,3.2780522249999997 > 3.1583 < 2.965856775,31.650150000000004 > 29.7 < 28.635849999999998
2025/09/26,09:12:40,60CAT0212P,250900253,5,10.6670025 > 10.28 < 9.6510975,24.5725725 > 23.64 < 22.232327499999997,3.2780522249999997 > 3.1583 < 2.965856775,31.650150000000004 > 29.7 < 28.635849999999998
2025/09/26,09:14:42,60CAT0212P,250900254,5,10.6670025 > 10.17 < 9.6510975,24.5725725 > 23.07 < 22.232327499999997,3.2780522249999997 > 3.0484 < 2.965856775,31.650150000000004 > 29.8 < 28.635849999999998
2025/09/26,09:14:42,60CAT0212P,250900254,5,10.6670025 > 10.17 < 9.6510975,24.5725725 > 23.07 < 22.232327499999997,3.2780522249999997 > 3.0484 < 2.965856775,31.650150000000004 > 29.8 < 28.635849999999998
2025/09/26,09:18:37,60CAT0212P,250900255,5,10.6670025 > 10.23 < 9.6510975,24.5725725 > 23.29 < 22.232327499999997,3.2780522249999997 > 3.0848 < 2.965856775,31.650150000000004 > 30.1 < 28.635849999999998
2025/09/26,09:18:37,60CAT0212P,250900255,5,10.6670025 > 10.23 < 9.6510975,24.5725725 > 23.29 < 22.232327499999997,3.2780522249999997 > 3.0848 < 2.965856775,31.650150000000004 > 30.1 < 28.635849999999998
2025/09/26,09:21:37,60CAT0212P,250900256,5,10.6670025 > 10.36 < 9.6510975,24.5725725 > 23.54 < 22.232327499999997,3.2780522249999997 > 3.1482 < 2.965856775,31.650150000000004 > 29.7 < 28.635849999999998
2025/09/26,09:24:01,60CAT0212P,250900257,5,10.6670025 > 10.25 < 9.6510975,24.5725725 > 23.55 < 22.232327499999997,3.2780522249999997 > 3.1324 < 2.965856775,31.650150000000004 > 29.9 < 28.635849999999998
2025/09/26,09:26:50,60CAT0212P,250900258,5,10.6670025 > 10.37 < 9.6510975,24.5725725 > 23.96 < 22.232327499999997,3.2780522249999997 > 3.1888 < 2.965856775,31.650150000000004 > 30.0 < 28.635849999999998
2025/09/26,09:26:50,60CAT0212P,250900258,5,10.6670025 > 10.37 < 9.6510975,24.5725725 > 23.96 < 22.232327499999997,3.2780522249999997 > 3.1888 < 2.965856775,31.650150000000004 > 30.0 < 28.635849999999998
2025/09/26,09:34:53,60CAT0212P,250900259,5,10.6670025 > 10.25 < 9.6510975,24.5725725 > 23.56 < 22.232327499999997,3.2780522249999997 > 3.0608 < 2.965856775,31.650150000000004 > 30.0 < 28.635849999999998
2025/09/26,09:37:16,60CAT0212P,250900260,5,10.6670025 > 10.54 < 9.6510975,24.5725725 > 24.48 < 22.232327499999997,3.2780522249999997 > 3.1989 < 2.965856775,31.650150000000004 > 29.9 < 28.635849999999998
2025/09/26,09:39:20,60CAT0212P,250900261,5,10.6670025 > 10.18 < 9.6510975,24.5725725 > 23.86 < 22.232327499999997,3.2780522249999997 > 3.1355 < 2.965856775,31.650150000000004 > 29.9 < 28.635849999999998
2025/09/26,09:39:20,60CAT0212P,250900261,5,10.6670025 > 10.18 < 9.6510975,24.5725725 > 23.86 < 22.232327499999997,3.2780522249999997 > 3.1355 < 2.965856775,31.650150000000004 > 29.9 < 28.635849999999998
2025/09/26,09:43:43,60CAT0212P,250900262,5,10.6670025 > 9.97 < 9.6510975,24.5725725 > 23.73 < 22.232327499999997,3.2780522249999997 > 3.1766 < 2.965856775,31.650150000000004 > 29.8 < 28.635849999999998
2025/09/26,09:45:49,60CAT0212P,250900263,5,10.6670025 > 10.29 < 9.6510975,24.5725725 > 23.68 < 22.232327499999997,3.2780522249999997 > 3.1605 < 2.965856775,31.650150000000004 > 30.4 < 28.635849999999998
2025/09/26,09:50:05,60CAT0212P,250900264,5,10.6670025 > 10.34 < 9.6510975,24.5725725 > 24.35 < 22.232327499999997,3.2780522249999997 > 3.1475 < 2.965856775,31.650150000000004 > 30.0 < 28.635849999999998
2025/09/26,09:50:05,60CAT0212P,250900264,5,10.6670025 > 10.34 < 9.6510975,24.5725725 > 24.35 < 22.232327499999997,3.2780522249999997 > 3.1475 < 2.965856775,31.650150000000004 > 30.0 < 28.635849999999998
2025/09/26,09:52:18,60CAT0212P,250900265,5,10.6670025 > 10.0 < 9.6510975,24.5725725 > 23.78 < 22.232327499999997,3.2780522249999997 > 3.1116 < 2.965856775,31.650150000000004 > 30.2 < 28.635849999999998
2025/09/26,09:55:39,60CAT0212P,250900266,5,10.6670025 > 10.14 < 9.6510975,24.5725725 > 23.57 < 22.232327499999997,3.2780522249999997 > 3.1064 < 2.965856775,31.650150000000004 > 30.3 < 28.635849999999998
2025/09/26,09:55:39,60CAT0212P,250900266,5,10.6670025 > 10.14 < 9.6510975,24.5725725 > 23.57 < 22.232327499999997,3.2780522249999997 > 3.1064 < 2.965856775,31.650150000000004 > 30.3 < 28.635849999999998
2025/09/26,09:57:44,60CAT0212P,250900267,5,10.6670025 > 10.25 < 9.6510975,24.5725725 > 23.74 < 22.232327499999997,3.2780522249999997 > 3.1545 < 2.965856775,31.650150000000004 > 29.7 < 28.635849999999998
